name,nodeType,score
Blohm+Voss,Brand,228.0
Bremer Vulkan,Brand,79.0
Schichau-Werke,Brand,77.0
Deutsche Werft,Brand,57.0
Danziger Werft,Brand,45.0
Bob'S,Brand,41.0
Q5254843,Brand,35.0
Blue Yonder,Brand,33.0
Nordseewerke,Brand,31.0
Tampella,Brand,25.0
Q122741,Brand,24.0
Hubspot,Brand,24.0
The Manchester Shop,Brand,23.0
Twinkl,Brand,23.0
Gilead Sciences,Brand,22.0
"Manning, Wardle And Company",Brand,22.0
Grays International,Brand,22.0
Apple Inc.,Brand,22.0
Salesforce,Brand,22.0
Huawei,Brand,21.0
Beacon Pharmaceuticals,Brand,21.0
Empower (Financial Services),Brand,20.0
Oneplus,Brand,20.0
Züblin,Brand,20.0
Hindustan Aeronautics Limited,Brand,20.0
Bemani,Brand,19.0
Interplay Entertainment,Brand,19.0
Aller Media,Brand,18.0
Jetbrains,Brand,18.0
Impress Budva Printing,Brand,17.0
Hp Inc.,Brand,17.0
Dell,Brand,17.0
Gazprombank,Brand,17.0
Lenovo,Brand,17.0
Hewlett-Packard,Brand,17.0
Kino Indonesia,Brand,17.0
Leonardo,Brand,16.0
Zicasso,Brand,16.0
Bharat Dynamics Limited,Brand,16.0
Amstrad,Brand,16.0
Aruba,Brand,16.0
Intrepid Pictures,Brand,16.0
Unity Bank,Brand,15.0
Q124364315,Brand,15.0
Q139323444,Brand,15.0
Brihans Natural Products,Brand,15.0
Astrum Online Entertainment,Brand,15.0
Mayora Indah,Brand,15.0
Deere & Company,Brand,15.0
Amazon,Brand,15.0
Jcb (Heavy Equipment Manufacturer),Brand,15.0
Grolsch,Brand,15.0
"Hein, Lehmann & Co",Brand,15.0
Novo Nordisk,Brand,15.0
Microsoft,Brand,15.0
Harpo Productions,Brand,14.0
Zhiwei Robotics Corp,Brand,14.0
Citrix Systems,Brand,14.0
Asus,Brand,14.0
Zhiwei Robotics Corp.,Brand,14.0
Uralvagonzavod,Brand,14.0
Delikana,Brand,14.0
Perforce Software,Brand,14.0
Winsor & Newton,Brand,14.0
Hemisphere Media Group,Brand,13.0
90 Lovehome,Brand,13.0
Belinvestbank,Brand,13.0
Benson Shoes,Brand,13.0
Zenith Bank,Brand,13.0
Dowa Holdings,Brand,13.0
Micro-Star International,Brand,13.0
Ampere Computing,Brand,13.0
De Bortoli Wines,Brand,13.0
Sterling Bank,Brand,13.0
Ht Laser,Brand,13.0
Mcdonald'S Philippines,Brand,13.0
Fasa Corporation,Brand,13.0
Hermiz Law,Brand,13.0
Vandestreek,Brand,13.0
Škoda Auto,Brand,13.0
Adam Foods,Brand,12.0
Lolc Holdings,Brand,12.0
Ubiquiti,Brand,12.0
Movicel,Brand,12.0
Prológica,Brand,12.0
Würth Estonia,Brand,12.0
Logitech,Brand,12.0
Barysaw Bakery Plant,Brand,12.0
Madfinger Games,Brand,12.0
Acer Inc.,Brand,12.0
Suomen Trikoo,Brand,12.0
Domachay,Brand,12.0
"Beyer, Peacock And Company",Brand,12.0
Tim Group,Brand,12.0
Bank Audi,Brand,12.0
Chicking,Brand,12.0
Redfern,Brand,12.0
Bank Hapoalim,Brand,12.0
Royal Talens,Brand,12.0
Bell,Brand,12.0
Mаzyr Oil Refinery,Brand,12.0
Xiaomi,Brand,12.0
Arcadia Machine & Tool,Brand,12.0
Wilson Sporting Goods,Brand,12.0
Vivid Money,Brand,11.0
East India Company,Brand,11.0
Apostila Brasil,Brand,11.0
Damen Group,Brand,11.0
Izhevsk Mechanical Plant,Brand,11.0
Indumil,Brand,11.0
Mirror Line,Brand,11.0
Boryszew,Brand,11.0
Kamet-Steel,Brand,11.0
Domalys By Linet,Brand,11.0
Noovle,Brand,11.0
Metrobank (Philippines),Brand,11.0
Dna Oyj,Brand,11.0
"Foursquare Labs, Inc.",Brand,11.0
Nothing Technology Ltd.,Brand,11.0
Oscar Schmidt Inc.,Brand,11.0
D-Link,Brand,11.0
Brother Industries,Brand,11.0
Marvell Technology,Brand,11.0
Unitel (Angola),Brand,11.0
Leica Camera,Brand,11.0
Minsk Motor Plant,Brand,11.0
Metinvest,Brand,11.0
National City Corp.,Brand,11.0
Kt Corporation,Brand,11.0
Spacex,Brand,11.0
Sennelier,Brand,11.0
Reality Labs,Brand,11.0
Infinix Mobile,Brand,11.0
Helleniq Energy,Brand,11.0
Group-Ib,Brand,11.0
Minsk Soft Drinks Factory,Brand,10.0
Bic,Brand,10.0
Nordic Mining,Brand,10.0
"The North Face, Inc.",Brand,10.0
Pretty Wild Lingerie,Brand,10.0
Golan Telecom,Brand,10.0
Schetmash,Brand,10.0
Bashkir Soda Company,Brand,10.0
Haft Tappeh Sugarcane Agro-Industry Co.,Brand,10.0
Fitbit,Brand,10.0
Bingo (Supermarket),Brand,10.0
Razer Inc.,Brand,10.0
Q121031993,Brand,10.0
Tencent,Brand,10.0
Lg Electronics,Brand,10.0
Luna Manchester,Brand,10.0
Cisco,Brand,10.0
Lyse As,Brand,10.0
