name,type,communityId
Almotahida Education Group,Brand,41
Schoopedia,Product,41
Booksfortopics,Brand,41
Reading List,Product,41
Skyeng,Brand,41
Online Education,Product,41
Talaera,Brand,41
Online Course,Product,41
Tomonokai,Brand,41
Edubal,Product,41
Q135485227,Product,41
Q135485228,Product,41
Education,Industry,41
Collectable,Industry,43
Lithography,Industry,43
Self-Service Laundry,Industry,43
Construction Company,Industry,43
Bed Base,Industry,43
Bed,Industry,43
Bedding,Industry,43
Process Engineering Device,Industry,43
Wireless Communication,Industry,43
Gold Mining,Industry,43
Tinker Federal Credit Union,Brand,43
Toho,Brand,43
Tokyo Electron,Brand,43
Tonka,Brand,43
"Tonner Doll Company, Inc.",Brand,43
Sitecom,Brand,43
Sky Science,Brand,43
Skybound Entertainment,Brand,43
The Walking Dead,Product,43
Skyline Chili,Brand,43
Slack Technologies,Brand,43
Slack,Product,43
Slate Auto,Brand,43
Computer Data Storage,Product,43
Aces High Light Aircraft,Brand,43
Homebuilt Aircraft,Product,43
Acorn Media Uk,Brand,43
Dvd,Product,43
Act (For-Profit Organization),Brand,43
Act (Test),Product,43
Actel,Brand,43
Field-Programmable Gate Array,Product,43
Action Lab Comics,Brand,43
Comic Book,Product,43
Action Sport Networks,Brand,43
Adaptec,Brand,43
Host Adapter,Product,43
Raid,Product,43
Adc Telecommunications,Brand,43
Akrotech Aviation,Brand,43
Aks Inc,Brand,43
Al Mar Knives,Brand,43
Knife,Product,43
Aland,Brand,43
Albany,Brand,43
Albin Marine,Brand,43
Marine Engine,Product,43
Sailboat,Product,43
Alden Global Capital,Brand,43
Hedge Fund,Product,43
Aldus,Brand,43
Art Pictures Studio,Brand,43
Art Technology Group,Brand,43
Artifact Puzzles,Brand,43
Artistic Media Partners,Brand,43
Radio,Product,43
Server Computer,Product,43
Aruba Networks,Brand,43
Asa Film,Brand,43
Feature Film,Product,43
Ashland Inc.,Brand,43
Model Car,Product,43
Ashton-Tate,Brand,43
Favorite Stove,Brand,43
Stove,Product,43
Fazoli'S,Brand,43
Fbr Capital Markets,Brand,43
Federal Realty Investment Trust,Brand,43
Felix Propellers,Brand,43
Fenix Automotive,Brand,43
Fiat,Brand,43
Fiberhome Networks,Brand,43
Field Communications,Brand,43
Broadcast Television System,Product,43
Q1029276,Brand,43
Q116095925,Brand,43
Zenly,Product,43
Q116667700,Brand,43
Tin Toy,Product,43
Q122166793,Brand,43
Q135976093,Brand,43
Q135983982,Brand,43
"Filemaker, Inc.",Brand,43
Bento,Product,43
Filemaker,Product,43
Filmauro,Brand,43
Fine Line Features,Brand,43
Finnfund,Brand,43
First American International Bank,Brand,43
First Citizens' Federal Credit Union,Brand,43
First General Bank,Brand,43
First Jersey Credit Union,Brand,43
First National Bank Alaska,Brand,43
Firstmark Capital,Brand,43
Fisher-Price,Brand,43
High Chair,Product,43
Stroller,Product,43
Q138330190,Brand,43
Q138733153,Brand,43
Box-Spring,Product,43
Q18388173,Brand,43
Q2616400,Brand,43
Q27377,Brand,43
Q28771536,Brand,43
Atom,Product,43
Electron,Product,43
Q107435063,Product,43
Q30324817,Product,43
Q364,Product,43
Q2900010,Brand,43
Q295774,Brand,43
Q339228,Brand,43
Boxful,Brand,43
Self Storage,Product,43
Bradford Exchange,Brand,43
Bradley Aerospace,Brand,43
Brantly International,Brand,43
Flagstar Financial,Brand,43
Flanders,Brand,43
Flavor Unit Entertainment,Brand,43
Flightstar Sportplanes,Brand,43
Flir Systems,Brand,43
Image Sensor,Product,43
Thermographic Camera,Product,43
Flying Buffalo,Brand,43
Tunnels & Trolls,Product,43
Focus.Com,Brand,43
Force10,Brand,43
Forcepoint,Brand,43
Ford Argentina,Brand,43
Pickup Truck,Product,43
Ford Germany,Brand,43
Ford Motor Company Of Canada,Brand,43
Ford Motor Credit Company,Brand,43
Ford Of Europe,Brand,43
Ford Performancedeudsch,Brand,43
Formation 8,Brand,43
Fornasari,Brand,43
Q96081297,Brand,43
Remote Medical Consultation,Product,43
Qcr Holdings,Brand,43
Qi Hardware,Brand,43
Qiagen,Brand,43
Qihoo 360,Brand,43
Qualcomm,Brand,43
Binary Runtime Environment For Wireless,Product,43
Qualcomm Snapdragon,Product,43
Qualys,Brand,43
Quantum Corporation,Brand,43
Queen,Brand,43
Quest Software,Brand,43
Qumulo,Brand,43
Qwest Corporation,Brand,43
R. John Wright Dolls,Brand,43
Radica Games,Brand,43
Handheld Electronic Game,Product,43
Radio Flyer,Brand,43
Rainier Motor Car Company,Brand,43
Ral Partha Enterprises,Brand,43
Rally Credit Union,Brand,43
Fortinet,Brand,43
Foundry Networks,Brand,43
Four Horsemen Studios,Brand,43
Fox 2000 Pictures,Brand,43
Fox Atomic,Brand,43
Fox Entertainment,Brand,43
Fox Feature Syndicate,Brand,43
Superhero Comics,Product,43
Foxit,Brand,43
Frank Jay Markey Syndicate,Brand,43
Franklin,Brand,43
Franklin Mint,Brand,43
Frazier Quarry,Brand,43
Fire Pit,Product,43
Free Bird Innovations,Brand,43
Freemountain Toys,Brand,43
Fremont Assembly,Brand,43
Friendly'S,Brand,43
Ranger Yachts,Brand,43
Rapid Motor Vehicle Company,Brand,43
Raven Rotorcraft,Brand,43
Raw Engineering,Brand,43
Rayfield (Automobile),Brand,43
"Raynor, Nicholas & Truesdell",Brand,43
Rc2 Corporation,Brand,43
Reading Steamer,Brand,43
Realnetworks,Brand,43
Reber (Automobile),Brand,43
Red Orb Entertainment,Brand,43
Red Zebra Broadcasting,Brand,43
Reel Fx Animation,Brand,43
Regal (Automobile),Brand,43
Regency Centers,Brand,43
Register And Tribune Syndicate,Brand,43
Remedy Corp,Brand,43
Remitly,Brand,43
Reo Motor Car Company,Brand,43
Rethink Compliance,Brand,43
Compliance And Ethics Training Library,Product,43
Revell,Brand,43
Revol Wireless,Brand,43
Revolution Helicopter Corporation,Brand,43
Revolution Studios,Brand,43
