brand1,brand2,similarityPercent
Danziger Werft,Blohm+Voss,0.37
Blohm+Voss,Agco Gmbh,0.44
Blohm+Voss,Adtranz,0.44
Blohm+Voss,Adva Optical Networking Se,0.44
Blohm+Voss,13Mann,0.44
Blohm+Voss,1&1 Ag,0.44
Blohm+Voss,Agfa-Gevaert,0.44
Blohm+Voss,A. Lange & Söhne,0.44
Blohm+Voss,Adess Ag,0.44
Blohm+Voss,Aareal Bank,0.44
Blohm+Voss,Abebooks,0.44
Schichau-Werke,C. L. Wüst,1.28
Schichau-Werke,Büssing,1.28
Schichau-Werke,Berlin Machine Building Company,1.28
Schichau-Werke,Atlas Werke,1.28
Schichau-Werke,Aurubis,1.28
Schichau-Werke,Alfred Kobitsch,1.28
Schichau-Werke,C. Pfeiffer,1.28
Schichau-Werke,Auto Union,1.28
Schichau-Werke,Acla Rheinische Maschinenleder Und Riemenfabrik,1.28
Schichau-Werke,Bavaria – St. Pauli Brewery,1.28
Bremer Vulkan,Brabag,2.35
Bob'S,Arcelormittal Tubarao,2.38
Bremer Vulkan,Abeking & Rasmussen,2.38
Bob'S,Aerotec,2.38
Bob'S,Análise Editorial,2.38
Bob'S,Aes Tietê,2.38
Bob'S,Aracruz Celulose,2.38
Bob'S,Amadeo Rossi S.A.,2.38
Bob'S,Aura Minerals,2.38
Bob'S,Audi Brasil,2.38
Bob'S,Aeroalcool,2.38
Bob'S,Andrade Gutierrez,2.38
Bremer Vulkan,Q66310867,2.41
Bremer Vulkan,Eisenwerk Wülfel,2.41
Bremer Vulkan,Hamburger Flugzeugbau,2.41
Bremer Vulkan,Schmidt & Römer,2.44
Bremer Vulkan,Behringwerke,2.47
Bremer Vulkan,Adox,2.47
Bremer Vulkan,German Arms And Ammunition Factory,2.47
Bremer Vulkan,Flender Werke,2.47
Blue Yonder,Applied Biosystems,2.94
Blue Yonder,63 Moons Technologies,2.94
Blue Yonder,Accelereyes,2.94
Blue Yonder,3Dfx Interactive,2.94
Blue Yonder,Accolade,2.94
Blue Yonder,Aol,2.94
Nordseewerke,13Mann,3.13
Nordseewerke,Adess Ag,3.13
Nordseewerke,Adva Optical Networking Se,3.13
Nordseewerke,Abebooks,3.13
Nordseewerke,1&1 Ag,3.13
Nordseewerke,A. Lange & Söhne,3.13
Nordseewerke,Agco Gmbh,3.13
Nordseewerke,Adtranz,3.13
Nordseewerke,Aareal Bank,3.13
Nordseewerke,Agfa-Gevaert,3.13
Deutsche Werft,Brabag,3.17
Deutsche Werft,Abeking & Rasmussen,3.23
Deutsche Werft,Eisenwerk Wülfel,3.28
Deutsche Werft,Hamburger Flugzeugbau,3.28
Deutsche Werft,Q66310867,3.28
Deutsche Werft,Schmidt & Römer,3.33
Deutsche Werft,Behringwerke,3.39
Deutsche Werft,German Arms And Ammunition Factory,3.39
Deutsche Werft,Flender Werke,3.39
Deutsche Werft,Adox,3.39
Tampella,Aktia Bank,3.85
Tampella,Ahlstrom-Munksjö,3.85
Twinkl,Aegon Uk,4.17
Twinkl,Abbey Panels Ltd,4.17
"Manning, Wardle And Company",Cambuhy Coffee And Cotton Estates,4.17
"Manning, Wardle And Company",Bellevue Pottery,4.17
Twinkl,Accuracy International,4.17
Twinkl,Abcam,4.17
Twinkl,100Green,4.17
Twinkl,Acorn Computers,4.17
"Manning, Wardle And Company",Australian Pastoral Company,4.17
Twinkl,Aberystwyth And Tregaron Bank,4.17
Twinkl,Acorn Media Uk,4.17
Twinkl,Aerated Bread Company,4.17
Twinkl,"""Pro:Atria""",4.17
Gilead Sciences,2Wire,4.35
Gilead Sciences,"2.13.61, Inc.",4.35
Gilead Sciences,20Th Century Home Entertainment,4.35
"Manning, Wardle And Company",Ayer Kuning Rubber Company,4.35
"Manning, Wardle And Company",Bikam Rubber Estates,4.35
