brandLabel,productLabel,industryLabel,countryLabel
"""Pro:Atria""",Sftpplus,Software Industry,United Kingdom
.224-32 Fa,Pistol,Firearm,United States
.224-32 Fa,Revolver,Firearm,United States
.Nelson Publishers Ltd.,Book,Publishing,Niger
1&1 Ag,Mobile Network Operator,Mobile Phone Industry,Germany
1+1 Media,Television Program,Media Industry,Ukraine
1-800-Flowers,Flower,Retail,United States
1-Up Studio,Magical Starsign,Video Game Industry,Japan
1-Up Studio,Mother 3,Video Game Industry,Japan
10 Minute School,Mobile App,Educational Technology,Bangladesh
10.Or,Smartphone,Smartphone,Haryana
"100 Worries, Llc",Video Game,Video Game Industry,United States
100Green,Renewable Natural Gas,Energy Industry,United Kingdom
101 Mobility,Q122446123,Durable Medical Equipment,United States
13Mann,Tabletop Role-Playing Game,Publishing House,Germany
1800Awnings,Awning,Industrial Manufacturing,United States
1800Mattress.Com,Bedding,Retail,United States
1C Company,Product Distribution,Software Industry,Russia
1C Company,Software,Software Industry,Russia
1C Company,Software Development,Software Industry,Russia
1St Valley Bank,Financial Services,Financial Services,Philippines
"2.13.61, Inc.",Record Label,Publishing Industry,United States
20Th Century Home Entertainment,Home Video,Home Video,United States
20Th Television Animation,Animated Television Series,Animation,United States
20Th Television Animation,Direct-To-Video Film,Animation,United States
20Th Television Animation,Television Special,Animation,United States
21St Century Media,Software,Mass Media,United States
23Andme,Genetic Testing,Biotechnology Industry,United States
2D Boy,Q123698856,Video Game Industry,United States
2D Boy,World Of Goo,Video Game Industry,United States
2Degrees,Global System For Mobile Communications,Mobile Phone Industry,New Zealand
2Waytraffic,Who Wants To Be A Millionaire?,Television,Netherlands
2Wire,Dsl Modem,Telecommunications,United States
3,Landline Telephone,Telecommunications,Luxembourg
3,Mobile Telephony,Telecommunications,Luxembourg
3 Denmark,Mobile Telephony,Telecommunications,Denmark
3 Hong Kong,Broadband Internet Access,Telecommunications,Hong Kong
3 Hong Kong,Mobile Telephony,Telecommunications,Hong Kong
3 Italy,Mobile Telephony,Telecommunications,Italy
3 Macau,Mobile Telephony,Telecommunications,Macau
3 Sprockets,Pac-Man 256,Video Game Industry,Australia
365.Bank,Bank,Financial Services,Slovakia
3Com,Networking Hardware,Telecommunications,United States
3Com,Software,Telecommunications,United States
3Dfx Interactive,Software,Computer Hardware Industry,United States
3Sun,Photovoltaics,Energy,Italy
3T Cycling,Bicycle,Bicycle Industry,Italy
3Xtrim Aircraft Factory,Light Aircraft,Aerospace,Poland
4A Games,Metro (Franchise),Video Game Industry,Malta
4D Systems Pty Ltd,Liquid-Crystal Display,Electronics Industry,Australia
4D Systems Pty Ltd,Poga,Electronics Industry,Australia
4D Systems Pty Ltd,Q209593,Electronics Industry,Australia
4F,Shoe,Textile Industry,Poland
4F,Sports Equipment,Textile Industry,Poland
4F,T-Shirt,Textile Industry,Poland
51 Minds Entertainment,Flavor Of Love,Television,United States
5By5 Studios,Podcast Show,Podcast,United States
63 Moons Technologies,Software,Information Technology,India
7 For All Mankind,Jeans,Clothing Industry,United States
7-Eleven Speak Out Wireless,Mobile Phone,Mobile Virtual Network Operator,United States
86 Bygg Grossisten,Building Material,E-Commerce,Sweden
86 Bygg Grossisten,Physical Tool,Online Shopping,Sweden
888Poker,Online Poker,Online Poker,Gibraltar
888Sport,Sports Betting,Gambling,Gibraltar
90 Lovehome,Blanket,E-Commerce,United States
90 Lovehome,Canvas,Gift Shop,United States
90 Lovehome,Carpet,E-Commerce,United States
90 Lovehome,Decorative Art,Online Shopping,United States
90 Lovehome,Doormat,E-Commerce,United States
90 Lovehome,Fleece,E-Commerce,United States
90 Lovehome,Gift,Online Shopping,United States
90 Lovehome,Giftware,E-Commerce,United States
90 Lovehome,Hoodie,E-Commerce,United States
90 Lovehome,Mug,E-Commerce,United States
90 Lovehome,Shower Curtain,E-Commerce,United States
90 Lovehome,T-Shirt,E-Commerce,United States
@Home Network,Broadband,Telecommunications,United States
A & B High Performance Firearms,Shooting Sports,Arms Industry,United States
A Bathing Ape,Clothing,Textile Industry,Japan
A Very Good Production,The Ellen Degeneres Show,Production Company,United States
A&B Sound,Electronics,Retail,Canada
A&K Cooperage,Barrel,Industrial Manufacturing,United States
A&W,Hamburger,Fast Food,Canada
A+E Global Media,Home Video,Media Industry,United States
A-Square,Rifle,Weapons Industry,United States
A-Treat Bottling Company,Carbonation,Beverage Industry,United States
A. C. Gilbert Company,Erector Set,Industrial Manufacturing,United States
A. F. Ferguson & Co.,Accounting,Professional Service,Pakistan
A. G. Becker & Co.,Investment Bank,Financial Services,United States
A. Horlock And Company,Steam Locomotive,Engineering,United Kingdom Of Great Britain And Ireland
A. Lange & Söhne,Watch,Horology,Germany
A. O. Smith,Hot Water Dispenser,"Water Collection, Treatment And Supply",United States
A. Sulka & Co.,Men'S Clothing,Clothing Industry,United States
A. Sulka & Co.,Neckwear,Clothing Industry,United States
A. Sulka & Co.,Shirt,Clothing Industry,United States
A.K.A. Cartoon,Cartoon Sushi,Film Industry,Canada
A.K.A. Cartoon,"Ed, Edd N Eddy",Film Industry,Canada
A.K.A. Cartoon,The Brothers Grunt,Film Industry,Canada
A1 Belarus,Broadband Internet Access,Telecommunications,Belarus
A1 Belarus,Information And Communications Technology,Telecommunications,Belarus
A1 Belarus,Internet Television,Telecommunications,Belarus
A1 Belarus,Mobile Telephony,Mobile Phone Industry,Belarus
A1 Belarus,Video Recording,Telecommunications,Belarus
A1 Macedonia,Cable Television,Telecommunications Industry,North Macedonia
A1 Macedonia,Information Technology,Telecommunications Industry,North Macedonia
A1 Macedonia,Internet Service Provider,Telecommunications Industry,North Macedonia
A1 Macedonia,Landline,Telecommunications Industry,North Macedonia
A1 Macedonia,Mobile Phone,Telecommunications Industry,North Macedonia
A1 Macedonia,Terrestrial Television,Telecommunications Industry,North Macedonia
A1 Slovenija,Global System For Mobile Communications,Telecommunications,Slovenia
A1 Srbija,Long Term Evolution,Telecommunications,Serbia
A1 Telekom Austria,Landline Telephone,Telecommunication Company,Austria
A1 Telekom Austria,Mobile Telephony,Telecommunication Company,Austria
A1 Telekom Austria Group,Digital Television,Telecommunications Industry,Austria
A1 Telekom Austria Group,Information Technology,Telecommunications Industry,Austria
A1 Telekom Austria Group,Internet Access,Telecommunications Industry,Austria
A1 Telekom Austria Group,Landline,Telecommunications Industry,Austria
A1 Telekom Austria Group,Landline Telephone,Telecommunications,Austria
A1 Telekom Austria Group,Mobile Telephony,Telecommunications,Austria
A123 Systems,Electric Vehicle Battery,Battery Industry,People'S Republic Of China
A24,Film,Film Industry,United States
Aa Insurance,Car,Insurance,New Zealand
Aa Portable Power Corp,Alkaline Battery,Battery Industry,United States
Aa Portable Power Corp,Lithium Battery,Battery Industry,United States
Aa Portable Power Corp,Lithium-Ion Battery,Battery Industry,United States
Aa Portable Power Corp,Nickel–Cadmium Battery,Battery Industry,United States
Aa Portable Power Corp,Nickel–Metal Hydride Battery,Battery Industry,United States
Aalborg Portland,Portland Cement,Construction Materials Industry,Denmark
Aapt Limited,Leased Line,Mobile Phone Industry,Australia
Aardewerkfabriek Amstelhoek,Earthenware,Metalware,Netherlands
Aardewerkfabriek Amstelhoek,Furniture,Metalware,Netherlands
Aardewerkfabriek Amstelhoek,Metalware,Metalware,Netherlands
Aareal Bank,Structured Finance,"Financial Service Activities, Except Insurance And Pension Funding",Germany
Aaroh,Mobile App,Technology Industry,India
